ID;Category;Country;Priority Project Number;Priority Project Title;Amount (USD);Amount (AUD);Official Keywords;Indicative Priority Project Cost (USD);Extracted Keywords
344;   TERRESTRIAL ECOSYSTEMS  ;Afghanistan;2;Community based watershed management;2,200,000;;Water management, Land rehabilitation, Agriculture;2200000;community,management watershed
428;WATER RESOURCES  ;Afghanistan;1;Improved water management and use efficiency;2,200,000;;Water management;2200000;efficiency management use water
1;CROSS-SECTORIAL;Bangladesh;5;Construction of flood shelter, and information and assistance centre to cope with enhanced recurrent floods in major floodplains.;5,050,000;;Terrestrial ecosystems, water resources, infrastructure and early warning system
2;CROSS-SECTORIAL;Bangladesh;6;Mainstreaming adaptation to climate change into policies and programmes in different sectors (focusing on disaster management, water, agriculture, health and industry).;1,025,000;;Mainstreaming and policy adaptation
35; FOOD SECURITY ;Bangladesh;10;Promotion of research on drought, flood and saline tolerant varieties of crops to facilitate adaptation in future.;5,050,000;;Agriculture
36; FOOD SECURITY ;Bangladesh;11;Promoting adaptation to coastal crop agriculture to combat increased salinity.;6,550,000;;Agriculture
37; FOOD SECURITY ;Bangladesh;12;Adaptation to agriculture systems in areas prone to enhanced flash flooding–North East and Central Region.;6,550,000;;Agriculture
38; FOOD SECURITY ;Bangladesh;13;Adaptation to fisheries in areas prone to enhanced flooding in North East and Central Region through adaptive and diversified fish culture practices;4,550,000;;Fisheries;4550000;adaptation,area,fishery,culture diversified fish practice,central east north region
39; FOOD SECURITY ;Bangladesh;14;Promoting adaptation to coastal fisheries through culture of salt tolerant fish special in coastal areas of Bangladesh;4,550,000;;Fisheries;4050000;adaptation,area coastal,culture fishery,fish tolerant,bangladesh
136;  COASTAL ZONES AND MARINE ECOSYSTEMS;Bangladesh;1;Reduction of Climate Change Hazards through Coastal afforestation with community participation;23,000,000;;Coastal Zones;23000000;reduction,community participation,change climate hazard,afforestation coastal
218; EDUCATION/ CAPACITY BUILDING ;Bangladesh;3;Capacity building for integrating Climate Change in planning, designing of infrastructure, conflict management and land-water zoning for water management institutions;5,050,000;;Capacity Building;5050000;building capacity,infrastructure,institution management water zoning,conflict land management,change climate planning
219; EDUCATION/ CAPACITY BUILDING ;Bangladesh;4;Climate change and adaptation information dissemination to vulnerable community for emergency preparedness measures and awareness raising on enhanced climatic disasters.;7,050,000;;Awareness raising and Capacity building
220; EDUCATION/ CAPACITY BUILDING ;Bangladesh;7;Inclusion of climate change issues in curriculum at secondary and tertiary educational institution.;;525;Education
221; EDUCATION/ CAPACITY BUILDING ;Bangladesh;9;Development of eco-specific adaptive knowledge (including indigenous knowledge) on adaptation to climate variability to enhance adaptive capacity for future climate change.;5,050,000;;Education and Public awareness
309; INFRASTRUCTURE  ;Bangladesh;8;Enhancing resilience of urban infrastructure and industries to impacts of climate change;2,025,000;;Urban infrastructure and;2025000;resilience,infrastructure urban,industry,change climate impact
342; INSURANCE ;Bangladesh;15;Exploring options for insurance to cope with enhanced climatic disasters;225000;;Insurance to cope with climatic disasters;225000;climatic disaster,insurance option
429;WATER RESOURCES  ;Bangladesh;2;Providing drinking water to coastal communities to combat enhanced salinity due to sea level rise;1,525,000;;Water Resource development;1525000;community,level rise,salinity,drinking water
3;CROSS-SECTORIAL;Benin;1;Implementation of a forecasting system for early warning and climatic risks for food security in four (4) vulnerable agroecological regions;8,190,000;;Capacity Building, Information-sharing, Early Warning System and Agriculture;8190000;food security,early warning,agroecological region vulnerable,climatic risk,forecasting system
137;  COASTAL ZONES AND MARINE ECOSYSTEMS;Benin;5;Protection of coastal areas against sea level rise;1,296,000;;Coastal Zones;1296000;protection,area coastal,level rise sea
222; EDUCATION/ CAPACITY BUILDING ;Benin;2;Adaptation of households to climate change through awareness-raising and capacity building on the use of renewable energy (solar energy) and energy-efficient stoves in the areas vulnerable to climate change and with soils highly degraded.;2,106,600;;Public Awareness and Capacity Building
276; HEALTH ;Benin;4;Protection of children under five (5) and pregnant women against malaria in the areas most vulnerable to climate change;1,112,500;;Children and pregnant women Health;1112500;change,area,malaria,pregnant woman,child
430;WATER RESOURCES  ;Benin;3;Exploitation of surface water as a means to adapt to climate change in the most vulnerable areas in the Centre and North Provinces;2,875,000;;Surface water;2875000;change,centre,north provinces,exploitation surface water,area vulnerable
179;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT ;Bhutan;1;Disaster Management Strategy –planning for food security and emergency medicine to vulnerable communities;619,11;;Disaster management
180;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT ;Bhutan;3;Weather Forecasting System to Serve Farmers and Agriculture;;420;Early warning;420000;forecasting system weather,agriculture farmers
181;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT ;Bhutan;7;GLOF Hazard Zoning (Pilot Scheme – Chamkhar Chu Basin);;232,493;Early warning system;232493;glof hazard zoning,basin chamkhar chu pilot scheme
182;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT ;Bhutan;8;Installation of Early Warning System on Pho Chu Basin;;400;Early warning system;400000;basin chu pho,installation,system warning
345;   TERRESTRIAL ECOSYSTEMS  ;Bhutan;2;Artificial Lowering of Thorthomi Lake;3,188,942;;Wetland;3188942;lake thorthomi,artificial lowering
346;   TERRESTRIAL ECOSYSTEMS  ;Bhutan;4;Landslide Management & Flood Prevention (Pilot Schemes in Critical Areas);;894,179;Land Rehabilitation/ erosion control;894179;flood landslide management prevention,area critical,pilot scheme
347;   TERRESTRIAL ECOSYSTEMS  ;Bhutan;5;Flood Protection of Downstream Industrial and Agricultural Areas;;453,488;Land Rehabilitation/ erosion control;453488;industrial,flood protection,agricultural area
348;   TERRESTRIAL ECOSYSTEMS  ;Bhutan;9;Promote Community-based Forest Fire Management and Prevention;;423;Forest ecosystem;423000;community,fire forest management prevention
431;WATER RESOURCES  ;Bhutan;6;Rainwater Harvesting;;895;Rain water;895000;harvesting rainwater
40; FOOD SECURITY ;Burkina Faso;2;Securing cereal production through the promotion of supplemental irrigation in the following areas: North Region (Oudalan Province) and Centre-North region (Namentenga Province).;;408,66;Agriculture
41; FOOD SECURITY ;Burkina Faso;4;Fodder production and development of fodder stocks for livestock in the Sahelian Region of Burkina Faso.;;330;Livestock
42; FOOD SECURITY ;Burkina Faso;7;Implementation of irrigated crops in Gourma, Namentenga, Tapoa and Sanmatnga regions;;443,3;Agriculture;443300;implementation,crop,region sanmatnga tapoa,namentenga,gourma
43; FOOD SECURITY ;Burkina Faso;8;Protection of pastoral-suited regions in the Sahelian and Eastern regions.;;320;Livestock
44; FOOD SECURITY ;Burkina Faso;9;Securing agricultural production through the use of appropriate technological packages in the South-East and East regions.;;297,924;Agriculture
183;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT ;Burkina Faso;1;Mitigating vulnerability to Climate Changes through the strengthening of a prevention and food crisis management system.;;400;Early warning
259; ENERGY ;Burkina Faso;12;Promoting the use of energy saving equipment (improved stoves, M’Bora stew pan) and renewable energy-based technologies (pressure-cooker, water heater and solar dryers, etc.);1,230,000;;Energy saving equipment
349;   TERRESTRIAL ECOSYSTEMS  ;Burkina Faso;3;Restoration and management of Oursi pond;;275;Wetlands;275000;management restoration,oursi pond
350;   TERRESTRIAL ECOSYSTEMS  ;Burkina Faso;5;Rehabilitation, sustainable management of natural vegetation, and enhancement of Non-timber Forest Products in the Eastern region of Burkina Faso;;700;Forestry and Biodiversity
351;   TERRESTRIAL ECOSYSTEMS  ;Burkina Faso;10;Promoting community-based fauna management in the Mouhoun region;;810;Terrestrial Biodiversity  Conservation;810000;community,fauna,mouhoun region
432;WATER RESOURCES  ;Burkina Faso;6;Control of sand encroachment/mud silting in the river basins of Mouhoun, Nakanbé and Comoé.;;352;River basin
433;WATER RESOURCES  ;Burkina Faso;11;Implementation of safety zones and backup devices to control pollution of underground and surface water catchment infrastructures (lakes, wells, boreholes) in the cotton belts of Burkina (Mouhoun, South-West, Comoé and the Eastern part of Nakanbé).;;330;Control of water pollution
45; FOOD SECURITY ;Burundi;7;Popularisation of short cycle and drought resistant food crops;;294;Agriculture;294000;drought,popularisation,crop food resistant,cycle short
46; FOOD SECURITY ;Burundi;8;Zero grazing technique;;300;Livestock;300000;technique,zero
184;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT ;Burundi;1;Improvement of seasonal early warning climate forecasts;;500;Early warning system;500000;improvement,climate early forecast seasonal warning
223; EDUCATION/ CAPACITY BUILDING ;Burundi;9;Capacity building to promote energy-wood saving techniques;;700;Capacity Building -Public Awareness;700000;building capacity,energy,technique,wood
224; EDUCATION/ CAPACITY BUILDING ;Burundi;11;Education on climate change adaptation;;500;Education;500000;adaptation change climate education
260; ENERGY ;Burundi;12;Increase hydropower micro stations;;500;Hydropower;500000;micro station
352;   TERRESTRIAL ECOSYSTEMS  ;Burundi;2;Rehabilitation of degraded areas;;500;Restoration of vegetation cover;500000;rehabilitation,area degraded
353;   TERRESTRIAL ECOSYSTEMS  ;Burundi;3;Safeguarding the most vulnerable  natural environments;;200;Amelioration of ecological conditions
354;   TERRESTRIAL ECOSYSTEMS  ;Burundi;5;Erosion control in the region of Mumirwa;;600;Erosion control;600000;mumirwa,region,control erosion
355;   TERRESTRIAL ECOSYSTEMS  ;Burundi;6;Protection of buffer zones in Lake Tanganyika floodplain and around the lakes of Bugesera;;200;Wetland ecosystem;200000;floodplain lake tanganyika,bugesera,lake,buffer protection zone
434;WATER RESOURCES  ;Burundi;4;Rainwater Valorisation;1,000,000;;Rain water;1000000;rainwater valorisation
435;WATER RESOURCES  ;Burundi;10;Stabilisation of river dynamics of watercourses and torrents in Mumirwa, including the city of Bujumbura;2,000,000;;River dynamics;2000000;city,mumirwa,bujumbura,torrent watercourse,dynamic river stabilisation
47; FOOD SECURITY ;Cambodia;3;Development and Improvement of Small-Scale Aquaculture Ponds;4,000,000;;Fisheries
48; FOOD SECURITY ;Cambodia;3;Promotion of Household Integrated Farming;2,500,000;;Agriculture
49; FOOD SECURITY ;Cambodia;4;Community Based Agricultural Soil Conservation in Srae Ambel District, Koh Kong Province;2,000,000;;Agriculture and Land Management
138;  COASTAL ZONES AND MARINE ECOSYSTEMS;Cambodia;4;Community Mangrove Restoration and Sustainable Use of Natural Resources;1,000,000;;Restoration and protection of coastal ecosystem
185;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT ;Cambodia;3;Strengthening of Community Disaster Preparedness and Response Capacity;5,000,000;;Early warning system
277; HEALTH ;Cambodia;1;Production of Biopesticides;3,000,000;;Biopesticides
278; HEALTH ;Cambodia;1;Development of Healthcare Centres and Posts;;750;Healthcare centers
279; HEALTH ;Cambodia;1;Provision of Safe Water in High Risk Malaria Regions;;100;Water quality
280; HEALTH ;Cambodia;2;Malaria Education and Mosquito Habitat Clearance Campaigns;;500;Health education
310; INFRASTRUCTURE  ;Cambodia;1;Rehabilitation of a Multiple Use Reservoir in Takeo Province;4,000,000;;Reservoir Rehabilitation;4000000;rehabilitation,province takeo,multiple reservoir use
311; INFRASTRUCTURE  ;Cambodia;1;Rehabilitation of Multiple Use Dams in Takeo and Kampong Speu Provinces;2,500,000;;Dam Rehabilitation
312; INFRASTRUCTURE  ;Cambodia;2;Development and Rehabilitation of Flood Protection Dykes;5,000,000;;Dykes
313; INFRASTRUCTURE  ;Cambodia;2;Rehabilitation of Upper Mekong and Provincial Waterways;30,000,000;;Water way Rehabilitation
314; INFRASTRUCTURE  ;Cambodia;2;Rehabilitation of Multiple-Use Canals in Banteay Meas District, Kampot Province;1,500,000;;Rehabilitation of canals
315; INFRASTRUCTURE  ;Cambodia;3;Water Gates and Water Culverts Construction;10,000,000;;Water gates and water culverts
316; INFRASTRUCTURE  ;Cambodia;3;Rehabilitation of Coastal Protection Infrastructure;2,000,000;;Coastal Infrastructure
356;   TERRESTRIAL ECOSYSTEMS  ;Cambodia;3;Vegetation Planting for Flood and Windstorm Protection;4,000,000;;Reforestation
436;WATER RESOURCES  ;Cambodia;1;Community and Household Water Supply in Coastal Provinces;1,000,000;;Water supply
437;WATER RESOURCES  ;Cambodia;3;Safer Water Supply for Rural Communities;5,000,000;;Water Supply
438;WATER RESOURCES  ;Cambodia;4;Development and Improvement of Community Irrigation Systems;45,000,000;;Irrigation
50; FOOD SECURITY ;Cape Verde;2;Modernization and diversification of agricultural production for food security improvement;1,500,000;;Agriculture
139;  COASTAL ZONES AND MARINE ECOSYSTEMS;Cape Verde;3;Integrated Protection and management of coastal zones;1,500,000;;Coastal Zones;1500000;coastal zone,integrated management protection
439;WATER RESOURCES  ;Cape Verde;1;Mobilization and integrated water resource management project;13,680,000;;Water resources;13680000;mobilization,management project resource water
51; FOOD SECURITY ;Central African Republic;5;Implementation of climate change-resistant varieties in the areas of Centre, North, Southeast of the country;;250000;Agriculture
186;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT ;Central African Republic;8;Implementation of an early warning and prevention system/Mitigation of harmful effects of abrupt climate change in local communities in RCA;;500;Early warning;500000;implementation,community local,abrupt change climate,early warning,effect harmful
225; EDUCATION/ CAPACITY BUILDING ;Central African Republic;1;Building community institutional capacities for eco-development;;250;Capacity Building;250000;development,building,eco,capacity institutional
226; EDUCATION/ CAPACITY BUILDING ;Central African Republic;9;Building capacities for local communities (authorities) on the risks of abrupt climate change;;250;Capacity Building -Education and Public Awareness
261; ENERGY ;Central African Republic;6;Promotion of the carbonization of wood byproducts from forest companies;;250;Carbonization of wood byproducts;250000;promotion,company forest,carbonization,byproduct wood
281; HEALTH ;Central African Republic;10;Prevention against water-borne diseases and other seasonal pathologies in rural areas;;500;Prevention;500000;area rural,prevention water,disease pathology seasonal
357;   TERRESTRIAL ECOSYSTEMS  ;Central African Republic;2;Promoting urban and suburban forests;;250;Forest ecosystem;250000;forest suburban
358;   TERRESTRIAL ECOSYSTEMS  ;Central African Republic;3;Management of the native vegetation for the restoration of degraded pastoral areas in Bossemptele;;250;Forest Ecosystems;250000;management,restoration,bossemptele,native vegetation,area degraded pastoral
359;   TERRESTRIAL ECOSYSTEMS  ;Central African Republic;4;Community Participation in the  reforestation and forest management in Southeast of Ombella M’Poko;;250;Forest ecosystem
440;WATER RESOURCES  ;Central African Republic;7;Improvement of the drinking water system in the area of Imohoro;;250;Water supply;250000;area,improvement,imohoro,drinking system water
4;CROSS-SECTORIAL;Chad;10;Reduction of climate change related vulnerability of the populations/management of climate change induced risks;2,000,000;;Early warning system
52; FOOD SECURITY ;Chad;2;Diversification and intensification of cultures in Sudanese and Sahelien areas;1,200,000;;Agriculture
53; FOOD SECURITY ;Chad;6;Enhancement of intercommunity pastoral areas;1,500,000;;Agriculture
54; FOOD SECURITY ;Chad;9;Food bank for livestock;1,000,000;;Livestock;1000000;bank food livestock
187;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT ;Chad;7;Improvement of the quality of seasonal forecasts for rain fall and surface water flow and their integration into an overall strategy for assessing vulnerability;1,700,000;;Early warning system, institutional strengthening, capacity-building
227; EDUCATION/ CAPACITY BUILDING ;Chad;3;Improvement and promotion to the general public of cultural calendars;1,000,000;;Education, food security
228; EDUCATION/ CAPACITY BUILDING ;Chad;4;Improvement of information, education and communication on adaptation to climate change;1,100,000;;Education, outreach activities
229; EDUCATION/ CAPACITY BUILDING ;Chad;8;National observatory for climate change adaptation policies;1,600,000;;Early warning system, institutional strengthening, capacity-building;1600000;adaptation change climate national observatory policy
317; INFRASTRUCTURE  ;Chad;5;Construction of infrastructure for the defense and conservation of soils as a mean to develop agricultural activities;1,100,000;;Infrastructure, Agriculture
441;WATER RESOURCES  ;Chad;1;Retention of surface water for agriculture and feeding of livestock;1,800,000;;Water resources
55; FOOD SECURITY ;Comoros;1;Varieties that are more adapted to drought;;420;Agriculture;420000;variety
56; FOOD SECURITY ;Comoros;9;Introduction of FCM;;132;Fisheries;132000;introduction,fcm
57; FOOD SECURITY ;Comoros;11;Short conservation of fish under ice;;308;Fisheries;308000;fish,conservation short,ice
58; FOOD SECURITY ;Comoros;12;Provender production;;900;Livestock;900000;production provender
59; FOOD SECURITY ;Comoros;13;Fodder production for goat breeding;;100;Livestock;100000;fodder goat production
188;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT ;Comoros;8;Early warning;;75;Early warning system;75000;
282; HEALTH ;Comoros;5;Fight against malaria;;175;Malaria control;175000;malaria
283; HEALTH ;Comoros;10;Support to eye medical and surgical care;;122;Eye care;122000;support,care surgical
318; INFRASTRUCTURE  ;Comoros;7;Use of local non metallic construction materials;1,025,000;;Construction materials;1025000;construction material metallic
360;   TERRESTRIAL ECOSYSTEMS  ;Comoros;4;Defence and Restoration of degraded soils;;500;Land rehabilitation and protection
361;   TERRESTRIAL ECOSYSTEMS  ;Comoros;6;Reconstitution of basin slopes;;580;Land rehabilitation and protection;580000;basin reconstitution slope
442;WATER RESOURCES  ;Comoros;2;Increase in water supply;;95;Water supply;95000;supply water
443;WATER RESOURCES  ;Comoros;3;Improvement of water quality;;80;Water quality;80000;improvement quality water
60; FOOD SECURITY ;Democratic Republic of Congo;2;The strengthening of agricultural production capacities: Multiplication of improved seeds of Corn, Rice and Cassava;5,658,760;;Agriculture;5658760;agricultural capacity production,strengthening,cassava rice,multiplication,corn seed
140;  COASTAL ZONES AND MARINE ECOSYSTEMS;Democratic Republic of Congo;3;Biodiversity conservation and restoration of Mangroves Marine Park;;239,374;Coastal Zones, Biodiversity;239374;biodiversity conservation restoration,mangroves marine park
262; ENERGY ;Democratic Republic of Congo;1;Energy related projects;10,577,520;;Energy;10577520;energy,project
5;CROSS-SECTORIAL;Djibouti;1;Mitigation of climate change-related risks for the production system of coastal areas through an integrated, adapted and participatory management involving grassroots organizations;1,000,000;;Coastal Ecosystem, Water resources,  Agriculture and Livelihood diversification
6;CROSS-SECTORIAL;Djibouti;5;Promotion of the integrated agro-pastoral industry and the development of irrigation techniques to control the salinisation of soils;;765;Water resources, Forest ecosystems, Livestock, Agriculture;765000;development,promotion,agro,irrigation technique,industry pastoral
61; FOOD SECURITY ;Djibouti;4;Improvement of rangeland management to mitigate the risks associated with traditional extensive livestock;1,700,000;;Livestock;1700000;risk,improvement management rangeland,extensive livestock traditional
141;  COASTAL ZONES AND MARINE ECOSYSTEMS;Djibouti;7;Restoration of protected sites through the protection of coral reefs and mangrove vegetation;;529;Restoration of coral reefs and mangrove vegetation;529000;protection,restoration,coral reef,mangrove vegetation,site
319; INFRASTRUCTURE  ;Djibouti;8;Promoting protection measures adapted to the water supply infrastructures of the City of Djibouti;;820;Water supply infrastructure;820000;city,infrastructure supply water,measure protection,djibouti
362;   TERRESTRIAL ECOSYSTEMS  ;Djibouti;2;Promoting the fencing of forest areas in Day and Mabla coupled with the introduction of improved stoves;;294;Forest Protection;294000;introduction,fencing,day mabla,area forest,stove
363;   TERRESTRIAL ECOSYSTEMS  ;Djibouti;6;Promoting the regeneration of pastures endogenous to the areas of Doda and Grand Bara;;882;Forest ecosystems;882000;area,bara doda grand,pasture,regeneration
444;WATER RESOURCES  ;Djibouti;3;Implementation of restoration and management actions adapted to surface water;1,447,000;;Surface Water;1447000;water,action management,implementation restoration
62; FOOD SECURITY ;Eritrea;1;Introducing community based pilot rangeland improvement and management in selected agro-ecological areas in the eastern and northwestern lowlands rangelands;7230000;;Livestock;7230000;community,agro,area ecological,lowland northwestern rangeland,improvement management pilot rangeland
63; FOOD SECURITY ;Eritrea;2;Introducing community based pilot projects to intensify existing production models, area and species specific in eastern and northwestern lowlands selecting suitable sheep and goat breeds;5077000;;Livestock;5077000;community,breed goat,area species,lowland northwestern,model production
64; FOOD SECURITY ;Eritrea;5;Increase agricultural production through spate irrigation and range development;8540000;;Agriculture;8540000;agricultural production,development range,irrigation spate
364;   TERRESTRIAL ECOSYSTEMS  ;Eritrea;3;Encourage afforestation and agroforestry through community forestry initiative;5,050,000;;Forest ecosystems
445;WATER RESOURCES  ;Eritrea;4;Groundwater recharge for irrigation wells;7,252,000;;Groundwater;7252000;groundwater irrigation recharge well
7;CROSS-SECTORIAL;Ethiopia;7;Realizing food security through multi-purpose large scale water development project in Genale–Dawa Basin;700,000,000;;Food security, water resources and infrastructure
65; FOOD SECURITY ;Ethiopia;4;Improving/enhancing rangeland resource management practices in the pastoral areas of Ethiopia;2,000,000;;Livestock;2000000;ethiopia,area pastoral,improving management practice rangeland resource
